DAFTAR RISIKO,,,,,,,,,,,,,,,,,,,,
RUMAH SAKIT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No,Kegiatan,Tujuan Kegiatan,Kode Risiko,Kategori Risiko,Ruang Lingkup,Pernyataan Risiko,Sebab,UC/C,Probality,Dampak,Pengendalian Yang Ada,,,Tingkat Risiko,Peringkat Risiko,Rencana Pengendalian,,Pemilik Risiko,PJ Tindak Lanjut,
409,Pengecheckan identitas saat penjemputan bayi baru lahir oleh perawat ruang bayi,Memastikan identitas pasien bayi baru lahir sama dengan ibu pasien,,Reputasi,Nakes lain,"Karena kelurga pasien mengatakan bawah gelang identitas yang ada pada bayi bukan milik bayinya, Mungkin saja perawat tidak melakukan pengecheckan identitas saat memakaikan gelang identitas Sehingga keluarga pasien komplain identitas bayi tertukar",Perawat tidak melakukan pengecheckan identitas saat memakaikan gelang identitas,C,1,4,Melakukan sosialisasi kembali SPO pemakaian gelang identitas,Ada,Efektif,4,RENDAH,Sosialisasi sasaran keselamatan pasien dan pemakaian gelang identitas,Setiap 3 bulan,Perawat Rawat Inap,Koordinator RI,RI
410,Penempatan Posisi bayi baru lahir pada ruangan,Pasien bayi baru lahir ditempatkan di tempat yang hangat untuk mencegah hipotermia,,Operasional,Nakes lain,"Karena pasien bayi baru terlihat pucat dan diukur suhu <36,5 Mungkin saja perawat menempatkan bayi bukan pada inkubator Sehingga bayi mengalami hipotermia",Perawat menempatkan bayi bukan pada inkubator,C,1,3,Melakukan sosialisasi prosedur termoregulasi pada pasien bayi baru lahir,Ada,Efektif,3,RENDAH,Sosialisasi prosedur termoregulasi pada bayi baru lahir,Setiap 3 bulan,Perawat Rawat Inap,Koordinator RI,RI
411,Membersihkan tubuh pasien dengan tissue basah antiseptik (Hi Fresh),Perawat menyeka dan membersihkan tubuh pasien dengan tissue basah antiseptik (Hi Fresh) untuk membersihkan anggota tubuh pasien di ruang rawat inap,,Operasional,Nakes lain,Karena pasien merasa badannya lengket dan gatal Mungkin saja perawat tidak menyeka tubuh pasien saat tirah baring Sehingga hygiene pasien tidak terjaga selama dirawat inap,Perawat tidak menyeka tubuh pasien saat tirah baring,C,1,1,Memberikan arahan mengenai cara menyeka pasien di rawat inap oleh perawat,Ada,Efektif,1,SANGAT RENDAH,Pendampingan perawat dalam melakukan tindakan cara memandikan pasien di RI,Setiap Minggu,Perawat Rawat Inap,Koordinator RI,RI
412,Mobilisasi pasien tirah baring dengan miring kanan-kiri pada pasien Total Care setiap 2 jam,Memastikan pasien tirah baring dilakukan mobilisasi oleh perawat di tempat tidur agak tidak menimbulkan luka lecet atau dekubitus,,Operasional,Nakes lain,Karena perawat banyak pelayanan pasien lain Mungkin saja perawat tidak melakukan miring kanan-kiri pasien total care setiap 2 jam Sehingga pasien mengalami luka lecet di area bokong,Perawat tidak melakukan miring kanan-kiri pasien total care setiap 2 jam,C,2,2,Melakukan sosialisasi prosedur perpindahan posisi pasien dengan teknik yang baik dan benar,Ada,Efektif,4,RENDAH,Pendampingan perawat dalam tindakan perubahan posisi pasien dengan TC,Setiap Minggu,Perawat Rawat Inap,Koordinator RI,RI
413,Pemantauan kalayakan akses IV,Memastikan akses IV/infus dalam keadaan baik dan tidak menimbulkan keluhan pada pasien,,Operasional,Nakes lain,Karena akses IV pasien rembes dan bengkak di hari rawat ke-5 Mungkin saja perawat tidak mengganti infus pasien Sehingga pasien mengalami phlebitis pada lokasi infus,Perawat tidak mengganti infus pasien,C,1,2,Melakukan sosialisasi SPO penggantian akses IV di rawat inap,Ada,Efektif,2,SANGAT RENDAH,Sosialisasi prosedur pemasangan infus dan PPI,Setiap 6 bulan,Perawat Rawat Inap,Koordinator RI,RI
414,Edukasi batuk efektif,"Perawat memberikan edukasi batuk efektif kepada pasien untuk mencegah penularan kepada penunggu pasien, perawat, dokter dan pasien lainnya",,Operasional,Pasien,"Karena pasien TB aktif tidak menutup mulut ketika batuk Mungkin saja perawat tidak mengajarkan cara etika batuk efektif kepada pasien Sehingga penunggu pasien, perawat dan dokter berisiko tertular",Perawat tidak mengajarkan cara etika batuk efektif kepada pasien,C,1,1,Melakukan edukasi mengenai batuk efektif kepada perawat sehingga dapat menyampaikan kepada pasien,Ada,Efektif,1,SANGAT RENDAH,Berkoordinasi dengan unit PPI untuk sosialisasi ulang Etika Batuk,Setiap 6 bulan,Perawat Rawat Inap,Koordinator RI,RI
415,Cuci tangan setiap 5 momen di rawat inap,Petugas kesehatan melakukan cuci tangan pada 5 momen sesuai SOP,,Operasional,Nakes lain,"Karena pasien mengalami diare seperti pasien sebelahnya, Mungkin saja perawat tidak melakukan cuci tangan dengan benar dan terjadi infeksi silang, Sehingga menambah masa rawat pasien di rawat inap",Perawat tidak melakukan cuci tangan dengan benar dan terjadi infeksi silang,C,1,2,Melakukan edukasi mengenenai cuci tangan kepada perawat,Ada,Efektif,2,SANGAT RENDAH,Berkoordinasi dengan unit PPI untuk sosialisasi ulang cuci tangan,Setiap 6 bulan,Perawat Rawat Inap,Koordinator RI,RI
416,Edukasi mengenai cuci tangan kepada keluarga atau penunggu pasien sebelum kontak dengan bayi baru lahir,Memberikan edukasi cuci tangan yang baik dan benar kepada agar bayi baru lahir terhindar dari kuman dari luar,,Operasional,Pasien,"Karena pipi bayi kemerahan setelah dipegang oleh pengunjung pasien, Mungkin saja pengunjung tidak mencuci tangan dahulu sebelum memegang pipi bayi, Sehingga pipi bayi mengalami iritasi",Pengunjung tidak mencuci tangan dahulu sebelum memegang pipi bayi,C,1,1,Melakukan edukasi mengenenai cuci tangan kepada perawat agar dapat mengedukasi pasien/pengunjung pasien,Ada,Efektif,1,SANGAT RENDAH,Berkoordinasi dengan unit PPI untuk sosialisasi ulang cuci tangan,Setiap 6 bulan,Perawat Rawat Inap,Koordinator RI,RI
417,Menyiapkan obat injeksi di dalam syringe,Perawat memasukkan obat injeksi ke dalam syringe secara hati-hati,,Operasional,Nakes lain,"Karena perawat menyiapkan banyak obat dalam satu waktu Mungkin saja perawat tidak hati-hati dan tertusuk jarum saat memasukan obat injeksi ke dalam syringe, Sehingga alat medis (needle) sudah terkontaminasi dengan darah perawat",Perawat tidak hati-hati dan tertusuk jarum,C,3,3,Memberikan pelatihan cara menyiapkan obat yang baik dan benar,Tidak,Efektif,9,SEDANG,Sosialisasi prosedur pemberian obat,Setiap 2 bulan,Perawat Rawat Inap,Koordinator RI,RI
418,Menyiapkan obat injeksi dari sediaan ampul,Mengeluarkan obat injeksi dari sediaan ampul sesuai prosedur dan hati-hati,,Operasional,Nakes lain,"Karena perawat merupakan perawat baru dan baru pertama kali menyiapkan obat injeksi Mungkin saja perawat tidak mengetahui teknik mematahkan ampul yang aman dan benar, Sehingga tangan perawat terkena pecahan ampul",Perawat tidak mengetahui teknik mematahkan ampul yang aman dan benar,C,2,2,Memberikan pelatihan cara menyiapkan obat yang baik dan benar,Ada,Efektif,4,RENDAH,Sosialisasi prosedur pemberian obat,Setiap 2 bulan,Perawat Rawat Inap,Koordinator RI,RI
419,Memindahkan posisi pasien dengan aman,Perawat dalam posisi siap dalam mengatur posisi pasien di tempat tidur sehingga pasien nyaman dan aman,,Operasional,Nakes lain,"Karena pasien memiliki berat badan yang besar, Mungkin perawat tidak siap dan menggunakan teknik yang salah dalam memindahkan posisi pasien, Sehingga perawat dan pasine dapat mengalami cedera",Perawat tidak siap dan menggunakan teknik yang salah dalam memindahkan posisi pasien,C,2,2,Memberikan pelatihan kepada perawat agar mampu mengatur posisi pasien dengan aman dan tidak menyebabkan cedera,Ada,Efektif,4,RENDAH,Pelatihan cara merubah posisi pasien,Setiap 1 tahun,Perawat Rawat Inap,Koordinator RI,RI
420,Cuci tangan setiap 5 momen di rawat inap,Petugas kesehatan melakukan cuci tangan pada 5 momen sesuai SOP,,Reputasi,Nakes lain,"Karena pasien mengalami diare seperti pasien sebelahnya, Mungkin saja perawat tidak melakukan cuci tangan dengan benar dan terjadi infeksi silang, Sehingga menambah masa rawat pasien di rawat inap",Perawat tidak melakukan cuci tangan dengan benar dan terjadi infeksi silang,C,2,2,Melakukan edukasi mengenenai cuci tangan kepada perawat,Ada,Efektif,4,RENDAH,Berkoordinasi dengan unit PPI untuk sosialisasi ulang cuci tangan,Setiap 6 bulan,Perawat Rawat Inap,Ka Inst RI,RI
421,Pemantauan tindakan fototerapi pada bayi,Perawat melakukan pemantauan pemberian fototerapi pada bayi sakit,,Operasional,Pasien,Karena perawat baru saja dipindahkan untuk berdinas di ruang bayi sehat Mungkin saja perawat tidak melakukan pemantauan waktu fototerapi pasien bayi sakit Sehingga bayi mengalami iritasi pada kulitnya,Perawat tidak melakukan pemantauan waktu fototerapi pasien bayi sakit,C,2,2,Melakukan sosialisasi SPO pemberian fototerapi kepada pasien bayi,Ada,Efektif,4,RENDAH,Sosialisasi ulang prosedur pemberian fototerapi,Setiap 3 bulan,Perawat Rawat Inap,Koordinator RI,RI
422,Pengawasan dalam pemakaian infus pump,Memastikan penggunaan infus pump sesuai indikasi yaitu untuk pasien yang membutuhkan perhitungan cairan dengan tepat dan diatur waktu pemberiannya,,Reputasi,Nakes lain,Karena orang tua pasien melihat pasien sesak setelah masuk banyak cairan Mungkin saja perawat tidak memantau pemberian cairan dari infus pump Sehingga orang tua pasien komplain kelalaian perawat rawat inap,Perawat tidak memantau pemberian cairan dari infus pump,C,1,1,Dilakukan sosialisasi mengenai prosedur penghitungan cairan dan pemakaian infus pump yang baik dan benar,Ada,Efektif,1,SANGAT RENDAH,Handling komplain oleh unit dan edukasi tindakan pemberian cairan,Setiap 2 bulan,Perawat Rawat Inap,Koordinator RI,RI
423,Pemberian ASIP pada bayi,Memberikan ASIP kepada bayi yang dirawat di perina/NICU/PICU,,Operasional,Pasien,Karena perawat menyimpan ASIP untuk >1 pasien dalam freezer yang sama Mungkin saja perawat tertukar memberikan ASIP kepada pasien bayi perina/NICU/PICU Sehingga pasien bayi meminum stok ASIP milik bayi lain,Perawat tertukar memberikan ASIP kepada pasien bayi perina/NICU/PICU,C,1,1,Dilakukan sosialisasi mengenai prosedur pemberian ASIP kepada bayi,Ada,Efektif,1,SANGAT RENDAH,Sosialisasi ulang prosedur pemberian ASIP pada bayi,Setiap 2 bulan,Pasien,Ka Inst RI,RI
424,DPJP visite pasien baru diruangan 1 x 24 jam,Assessment dilakukan oleh dokter spesialis dalam waktu 1 x 24 jam,,Kepatuhan,Staf Medis,"Karena sedang banyak pelayanan di unit lain maupun di rumah sakit lain, Mungkin saja DPJP terlewat melakukan visite pasien baru, Sehingga pasien tidak di visite oleh DPJP dalam 1x24 jam",DPJP terlewat melakukan visite pasien baru,C,1,2,Pasien baru yang masuk ke rawat inap dilaporkan kembali oleh keperawatan dan dokter jaga kepada DPJP,Ada,Efektif,2,SANGAT RENDAH,Menghubungi DPJP mengingatkan terkait visite pasien baru,Setiap ada pasien baru,DPJP,Ka Inst RI,RI
425,Kepatuhan visite DPJP setiap hari,Evaluasi kondisi pasien,,Kepatuhan,Staf Medis,"Karena sedang cuti atau ada pelayanan di tempat sakit lain, Mungkin saja DPJP tidak visite, Sehingga pasien tidak di visite oleh DPJP setiap hari",DPJP tidak melakukan visite pasien di rawat inap setiap hari,C,2,2,Perawat mengingatkan DPJP untuk visite pasien setiap hari,Ada,Kurang Efektif,4,RENDAH,Menghubungi DPJP mengingatkan terkait visite pasien setiap hari,Setiap pagi,DPJP,Ka Inst RI,RI
426,Pasien / Keluarga pasien parkir mobil di area parkir RS. Azra,Pasien / keluarga pasien memarkirkan mobil untuk melakukan terapi,,Operasional,Fasilitas,"Karena Pasien / Keluarga Pasien tidak dapat tempat untuk memarkirkan mobilnya, mungkin saja pasien / keluarga pasien harus mencari tempat di area parkir lain sehingga jadwal terapi pasien mundur yang mempengaruhi jadwal pelayanan terapi pasien lainnya.",Pasien / keluarga pasien tidak dapat tempat parkir di area parkir RS. azra,C,4,2,Menyarankan pasien diantar oleh pengantar atau orang dewasa lain seperti pengasuh. Menyarankan orang tuas pasien menggunakan valet parkir. Jika valet sedang sibuk dan terapis tidak dalam pelayanan bisa menghubungi terpais untuk menjemput pasien anak ke depan pintu masuk gedung C.,Ada,Kurang Efektif,8,SEDANG,Melakukan Koordinasi dengan pihak Parkir,2x/bulan,Rehabilitasi Medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
427,Terapis parkir kendaraan di area parkir RS. Azra,Terapis memarkirkan kendaraanuntuk melakukan terapi,,Operasional,Fasilitas,"Karena Terapis tidak dapat tempat untuk memarkirkan kendaraannya, mungkin saja Terapis harus mencari tempat di area parkir lain sehingga jadwal terapi pasien mundur yang mempengaruhi jadwal pelayanan terapi pasien lainnya.",Terapis tidak dapat tempat parkir kendaraan di area parkir RS. azra,C,3,1,Menyarankan terapis untuk datang lebih awal. menyarankan terapis menggunakan layanana valet parkir,Ada,Kurang Efektif,3,RENDAH,Melakukan Koordinasi dengan pihak Parkir,2x/bulan,Rehabilitasi Medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
428,Pasien menuju ruang terapi,Pasien akan melakukan tindakan terapi,,Operasional,Pasien,"Karena pasien harus menaiki dan menuruni tangga atau jalanan menurun saat akan melakukan tindakan terapi di ruang terapi, mungkin saja pasien terjatuh di tangga sehingga bisa jadi pasien terluka dan tidak jadi melakukan tindakan terapi.",Pasien terjatuh di tangga atau jalanan menurun saat ke ruangan terapi,UC,2,3,Eduksi pengantar pasien agar berhati hati saat menaiki atau turun tangga.,Tidak,Tidak Efektif,6,SEDANG,"Mengedukasi pengantar pasien untuk mengawasi pasien ketika naik dan turun tangga. Meminta dibutkan sign ""hati - hati, perhatikan langkah"" dengan ilustrasi gambar orang jatuh",2x/bulan,Rehabilitasi Medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
429,Pasien anak akan melakukan tindakan terapi di KTKA,Pasien anak akan melakukan tindakan terapi di KTKA,,Operasional,Pasien,"Karena pasien tertidur di perjalanan ke RS. Azra atau mood sedang kurang baik saat diperjalanan atau dirumah, mungkin saja pasien menjadi tidak mood dan tantrum saat sampai di KTKA sehingga pasien menolak tidak mau terapi yang mengakibatkan jadwal terapi pasien mundur atau tidak jadi melakukan terapi.",Pasien tertidur di perjalanan ke RS. Azra atau mood pasien kurang baik,UC,3,3,Edukasi dengan orang tua pasien agar mengkondisikan pasien agar datang bukan dijam istirahat pasien agar terapi berjalan lanacar.,Ada,Efektif,9,SEDANG,"Mengedukasi orang tua dan menyesuaikan jadwal terapi agar tidak di jam tidur, jam makan atau berdekatan dengan waktu pulang sekolah.",2x/bulan,KTKA,Intan & Emillia,Rehab Medik & KTKA
430,Pasien anak menunggu di ruang tunggu terapi dan bermain,Pasien menunggu jam terapi,,Operasional,Pasien,"Karena pasien datang lebih awal sebelum jam terapi lalu pasien menunggu sambil bermain perosotan di ruang tunggu KTKA, mungkin saja pasien terjatuh dari perosotan atau tersandung matras perosotan sehingga pasien terluka dan tidak jadi melakunan tindakan terapi di KTKA",Pasien terjatuh saat bermain di ruang tunggu KTKA,UC,3,3,Edukasi dengan orang tua pasien/ pengantar pasien agar pasien diawasi saat bermain.,Ada,Efektif,9,SEDANG,Mengedukasi pengantar pasien untuk mengawasi saat bermain. sudah ada sign untuk berhati-hati saat bermain perosotan.,2x/bulan,KTKA,Intan & Emillia,Rehab Medik & KTKA
431,Pasien anak menunggu di ruang tunggu terapi KTKA,Pasien menunggu jam terapi,,Operasional,Pasien,Karena pasien merasa penasaran dengan keran disepenser mungkin saja pasien memainkan keran dispenser berwarna merah dengan tangannya sehingga tangan pasien cedera terkena air panas,Pasien terkena air panas dispenser di ruang tunggu KTKA,UC,2,2,Eduksi orang tua pasien/pengantar agar mengawasi pasien agar jengan mendekati area dispenser (air panas). dan menambahkan rambu rambu Hati hati air panas.,Ada,Efektif,4,RENDAH,Mengedukasi orang tua untuk mengawasi anak saat bermain. Sudah ada sign di dekat dispenser ruang tunggu,2x/bulan,KTKA,Intan & Emillia,Rehab Medik & KTKA
432,Keluarga pasien anak (adik atau kakak pasien) menunggu di ruang tunggu terapi dan bermain,Menemani pasien menunggu jam terapi,,Operasional,Lingkungan,"Karena keluarga pasien ikut datang dan menemani pasien terapi, keluarga pasien menunggu sambil bermain perosotan di ruang tunggu KTKA, mungkin saja keluarga pasien terjatuh dari perosotan atau tersandung matras perosotan sehingga keluarga pasien terluka.",Keluarga pasien terjatuh saat bermain di ruang tunggu KTKA,C,2,2,Edukasi dengan orang tua pasien/ pengantar pasien agar pasien diawasi saat bermain.,Ada,Efektif,4,RENDAH,Mengedukasi orang tua untuk mengawasi anak saat bermain. Sudah ada sign di dekatperosotan ruang tunggu,2x/bulan,KTKA,Intan & Emillia,Rehab Medik & KTKA
433,melakukan identifikasi nama pasien saat dilakukan pemanggilan pasien untuk terapi,identifikasi pasien yang akan diterapi,,Kepatuhan,Pasien,Karena pemanggilan nama pasien terapi yang kurang lengkap mungkin saja terjadi kesalahan pemanggilan pasien yang memiliki nama serupa sehingga terjadi ketidaksesuaian tindakan terapi terhadap pasien,pemanggilan nama pasien yang kurang lengkap,C,2,2,Sosialisasi kembali SPO identifikasi pasien sebelum tindakan terapi.,Ada,Efektif,4,RENDAH,Melakukan sosialisai kembali mengenai identifikasi identitas pasien pada saat GKM,1x/bulan,rehabilitasi medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
434,melakukan pelayanan terapi modalitas elektroterapi yang berisiko terjadi luka bakar (US; ES; TENS; LASER; MWD),menjalankan tindakan terapi sesuai program yang diberikan,,Kepatuhan,Pasien,"Karena penggunaan alat elektroterapi yangtidak sesuai SPO , mungkin saja terjadi kesalahan tindakan sehingga pasien berisiko terjadinya luka bakar",penggunaan alat elektroterapi yang tidak sesuai SPO,C,3,4,sosialisasi kembali SPO penggunaan alat sebelum tindakan terapi.,Ada,Efektif,12,TINGGI,Melakukan sosialisai kembali mengenai SPO penggunaan alat elektroterapi pada saat GKM,1x/bulan,rehabilitasi medik (fisioterapi),Syaida dan Intan,Rehab Medik & KTKA
435,melakukan pelayanan terapi exercise pada pasien di pelayanan Rehabilitasi Medik,melakukan pelayanan sesuai program dari dokter,,Kepatuhan,Pasien,Karena positioning pasien kurang aman dan ergonomis kemungkinan pasien mengalami cedera sehingga pasien berisiko jatuh,"kondisi ruangan licin, matras bergeser, kondisi pasien kurang stabil",C,1,2,"Mengkondisikan agar rungan tidak licin, memfiksasi agar matars tidak bergeser (koordinasi dengan bafian IPSRS untuk perbaikan). mengawsai pasien saat menjlankan program terapi.",Ada,Efektif,2,SANGAT RENDAH,Koordinasi dengan IPSRS dan cleaning Service,1x/minggu,Rehabilitasi Medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
436,Melakukan pelayanan terapi exercise di pelayanan KTKA,melakukan pelayanan sesuai program dari dokter,,Kepatuhan,Pasien,"Karena pasien terlalu bersemangat saat terapi, mungkin saja pasien kurang memperhatikan pijakan atau beban benda yang dipegang sehingga pasien beresiko terkilir pada pergelangan kaki atau tangan.",Kurang dapat mengontrol keseimbangan tubuh,UC,4,4,Eduksi pasien sebelum melakukan terapi Exercice,Ada,Efektif,16,SANGAT TINGGI,Memahami kondisi pasien. mengadakan internal training mengenai penangangan pada pasien dengan diagnosa yang sudah ditetapkan pada saat GKM,1x/bulan,Rehabilitasi Medik dan KTKA,Syahida dan Intan,Rehab Medik & KTKA
437,Melakukan pelayanan terapi exercise menggunaaan flying fox di Ruang SI,melakukan pelayanan sesuai program dari dokter,,Kepatuhan,Pasien,"Karena pasien mendapatkan program bermain flying fox, mungkin saja pasien tidak dapat menggenggam pegangan flying fox dengan kencang sehingga pasien terjatuh dan cedera.",Kurang kuat memegang flying fox,C,4,4,Memberikan alat seperti sabuk pengaman. Menambahkan matras yang lebih tebal pada area Flaing fox agar saat terjatuh tidak cedera. (Berkoordinasi dengan bagian IPSRS/Pembalian),Ada,Efektif,16,SANGAT TINGGI,Berkoordinasi dengan Cleaning service dan IPSRS jika ada matras yang rusak.,1x/bulan,KTKA,Intan,Rehab Medik & KTKA
438,menjaga kebersihan tangan (hand hygiene) terapis terutama saat pergantian pasien,kepatuhan terapis untuk menjaga kebersihan tangan dalam hal kontak terhadap pasien terapi,,Kepatuhan,Staf Medis,Karena terapis kurang disiplin terhadap kepatuhan menjalankan hand hygiene mungkin saja memicu penyebaran bakteri sehingga terjadinya penularan penyakit melalui kontak tangan,ketidakdisiplinan menjaga kebersihan tangan,C,1,2,"Sosialisasi kembali SPO cuci tangan setiap akan melakukan dan setelah melakukan tindakan terapi , terapis harus menjaga kebersihan tangan ( hand hygene)",Ada,Efektif,2,SANGAT RENDAH,Melakukan sosialisai kembali mengenai SPO cuci tangan pada saat GKM,1x/bulan,rehabilitasi medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
439,lapisan hpl pelapis kayu bed terapi terkelupas,kerapihan dan estetika bed terapi,,Operasional,Fasilitas,Karena terkelupasnya hpl pelapis kayu bed terapi mungkin saja terkena pasien atau terapis saat pelayanan terapi sehingga dapat menciderai pasien atau terapis,hpl pelapis kayu bed terapi terkelupas,UC,1,2,Berkoordinasi dengan bagian IPSRS untuk mendapatkan penanganan lebih lanjut,Tidak,Kurang Efektif,2,SANGAT RENDAH,Berkoordinasi dengan IPSRS,1x/bulan,rehabilitasi medik,Syahida dan Intan,Rehab Medik & KTKA
440,melakukan pelayanan terapi exercise dan membantu transfer pasien,melakukan pelayanan sesuai program dari dokter,,Kepatuhan,Staf Medis,Karena positioning Terapis kurang aman dan ergonomis saat melakukan terapi kepada pasien kemungkinan Terapis mengalami cedera Low Back Pain,,C,2,1,SPO posisi transfer pasien yang benar,Ada,Efektif,2,SANGAT RENDAH,Melakukan sosialisai kembali mengenai SPO Posisi transfer pasienn yang benar pada saat GKM,1x/bulan,Rehabilitasi Medik dan KTKA,Syahida dan Intan,Rehab Medik & KTKA
441,Melakukan pelayanan terapi anak,melakukan pelayanan sesuai program dari dokter,,Kepatuhan,Staf Medis,"Karena Terapis harus melakukan pelayanan terapi pada anak dengan gangguan perilaku, mungkin saja pasien tantrum sehingg bisa jadi terapis cedera saat menangani pasien tersebut",Pasien tantrum,UC,2,2,Memahami kondisi pasien. Membuat SPO jika terapis cedera saat pelayanan pasien Anak Berkebutuhan Khusus dengan kondisi perilaku agresif dan mood swing.,Ada,Efektif,4,RENDAH,Memahami kondisi pasien. mengadakan internal training mengenai penangangan pada pasien dengan diagnosa yang sudah ditetapkan pada saat GKM. Membuat SPO cdera karena pasien tantrum.,1x/bulan,KTKA,Intan,Rehab Medik & KTKA
442,Melakukan pelayanan terapi anak,melakukan pelayanan sesuai program dari dokter,,Kepatuhan,Pasien,"Karena anak merasa penasaran dengan ayuna yang bisa bergerak maju dan mundur, mungkin saja Pasien mendekati ayunan yang sedang berayun sehingga pasien tertabrak ayunan yang sedang berayun.",Pasien mendekati ayunan yang sedang berayun,C,2,2,Memahami kondisi pasien. mendampinig anak jika ada yang sedang bermain ayunan.,Ada,Efektif,4,RENDAH,Memahami kondisi pasien. mengadakan internal training mengenai penangangan pada pasien dengan diagnosa yang sudah ditetapkan pada saat GKM,1x/bulan,KTKA,Intan,Rehab Medik & KTKA
443,Melakukan pelayanan terapi anak,Melakukan pelayanan sesuai program dari dokter,,Kepatuhan,Pasien,Karena anak sedang kurang sehat atau kebiasaannya untuk menolak sesuatu dengan muntah mungkin saja anak muntah dan mengotori bajunya sehingga bisa saja pasien tantrum dan tidak jadi terapi,Anak muntah karena sedang tidak sehat atau karena behavior,C,3,2,Memahami Kondisi Anak. Mempersiapkan alat untuk membersihkan muntahan.,Ada,Efektif,6,SEDANG,Berkoordinasi dengan IPSRS dan Cleaning Service,1x/bulan,KTKA,Intan,Rehab Medik & KTKA
444,Mendaftar terapi menggunakan penjaminan BPJS,Daftar Terapi menggunakan BPJS,,Operasional,Bisnis RS,Karena kegiatan terapi itu terjadwal tiap harinya mungkin saja pasien dan terapis lupa tanggal berlaku SEP nya sehingga bisa saja saat daftar tanggal SEP nya sudah habis dan tidak bisa mendapatkan pelayanan terapi,Masa SEP pasien BPJS habis,C,3,4,Berkoordinasi dengan bagian pendaftaran BPJS serta terapis untuk dapat menuliskan tanggal berlaku SEP di surat keretangan BPJS dan lembar permintaan terapi.,Ada,Efektif,12,TINGGI,Berkoordinasi dengan bagian pendaftaran BPJS dan juga terapis untuk menuliskan tanggal berlamku SEP di surat keterangan.,Setiap akan dijadwalkan terapi,rehabilitasi medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
445,Melakukan pelayanan terapi anak,Melakukan terapi dengan media mainan kecil dan play dough,,Kepatuhan,Pasien,Karena anak-anak masih penasaran dengan tekstur dan masih muncul fase mouthing mungkin saja pasien memakan mainan kecil dan playdough yang tidak food grade sehingga tertelan dan tersedak,Memakan mainan kecil dan playdough,C,2,3,Memahami kondisi Pasien. Sosialisasi Terapis Jika pasien masih dalam fase mouthing untuk tidak memberkan mainan yang kecil dan berpotensi daimakan pasien.,Ada,Efektif,6,SEDANG,Memahami kondisi pasien. mengadakan internal training mengenai penangangan pada pasien dengan diagnosa yang sudah ditetapkan pada saat GKM,1x / bulan,KTKA,Intan & Emillia,Rehab Medik & KTKA
446,Pasien anak sedang menjalankan program terapi diruangan terapi,Untuk kegiatan terapi,,Kepatuhan,Pasien,"Karena pasien anak sedang mejalankan program terapinya di rungan khusu terapi yang mempunyai cermin di salah satu dindingnya, mungkin saja pasien bergerak tidak berarah sehingga cermin pecah dan pasien terluka.",pasien tantrum,C,2,2,Menempatkan pasien berpotensi tantraum di ruangan tidak bercermin.,Ada,Efektif,4,RENDAH,Memahami kondisi pasien. mengadakan internal training mengenai penangangan pada pasien dengan diagnosa yang sudah ditetapkan pada saat GKM,1X / bulan,KTKA,Intan & Emillia,Rehab Medik & KTKA
447,Melakukan layanan terapi Nebulizer,untuk memberikan layanan terapi nebulizer,,Kepatuhan,Staf Medis,Kerena kaca botol vial terbuat dari kaca yang tipis dab harus dibuka dengan tangan mungkin saja patahan kacanya menggores jari atau tangan terapis sehingga terapis terluka robekan,Tergores patahan kaca botol vial,C,2,2,Menyarankan Terapis untuk berhati-hati saat membuka botol vial dan menggunakan APD saat membuka botol vial.,Ada,Efektif,4,RENDAH,Mengedukasi terapis untuk membuka botol vial menggunakan APD (Sarung tangan) pada saat GKM,1x/bulan,rehabilitasi medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
448,Melakukan layanan terapi Nebulizer,untuk memberikan layanan terapi nebulizer,,Operasional,Bisnis RS,"Karena lingkungan kurang kondusif, mungkin saja ampul obat atau tabung obat nebulizer terjatuh sehingga obat nebulizer tumpah",Obat nebulizer jatuh dan tumpah,UC,2,2,Menyarankan terapis untuk menaruh obat di tempat yang aman supaya tidak jatuh.,Ada,Efektif,4,RENDAH,Mengedukasi orang tua untuk posisioning anak pada saat nebulizer,Setiap kali tindakan terapi NBL,rehabilitasi medik dan KTKA,Syaida dan Intan,Rehab Medik & KTKA
449,Melakukan pelayanan terapi exercise,Melakukan program terapi sesuai kondisi pasien,,Kepatuhan,Pasien,"Karena posisi pasien yang kurang pas atau bisa juga pasien anak yang tidak nyaman digerakkan anggota tubuhnya, mungkin saja pasien bergerak melawan gerakan yang seharusnya sehingga terjadi dislokasi sendi",Posisi yang kurang pas dan tidak nyaman,UC,2,2,Memahami kondisi Pasien. Sosialisasi Terapis Jika pasien masih dalam fase mouthing untuk tidak memberkan mainan yang kecil dan berpotensi daimakan pasien.,Ada,Efektif,4,RENDAH,Memahami kondisi pasien. mengadakan internal training mengenai penangangan pada pasien dengan diagnosa yang sudah ditetapkan pada saat GKM,1x/bulan,Rehabilitasi Medik dan KTKA,Syahida dan Intan,Rehab Medik & KTKA
